names,status
2023_fig1,ok
2023_fig2,ok
2023_fig3,ok
2023_fig4,ok
2023_fig5,ok
2023_fig6,ok
2023_fig7,ok
2023_fig8,ok
2023_fig9,ok
2023_fig10,ok
2023_fig11,ok
2023_fig12,ok
2023_fig13,ok
2023_fig14,ok
2023_fig15,ok
2023_fig16,ok
2023_fig17,ok
2023_fig18,ok
2023_fig19,ok
2023_fig20,ok
2023_fig21,ok
2023_fig22,ok
2023_fig23,ok
2023_fig24,ok
2023_fig25,ok
2023_fig26,ok
2024_fig1,ok
2024_fig2,ok
2024_fig3,ok
2024_fig4,ok
2024_fig5,ok
2024_fig6,ok
2024_fig7,ok
2024_fig8,ok
2024_fig9,ok
2024_fig10,ok
2024_fig11,ok
2024_fig12,ok
2024_fig13,ok
2024_fig14,ok
2024_fig15,ok
2024_fig16,ok
2024_fig17,ok
2024_fig18,ok
2024_fig19,ok
2024_fig20,ok
2024_fig21,ok
2024_fig22,ok
2024_fig23,ok
2024_fig24,ok
2024_fig25,ok
2025_fig1,ok
2025_fig2,ok
2025_fig3,ok
2025_fig4,ok
2025_fig5,ok
2025_fig6,ok
2025_fig7,ok
2025_fig8,ok
2025_fig9,ok
2025_fig10,ok
2025_fig11,ok
2025_fig12,ok
2025_fig13,ok
2025_fig14,ok
2025_fig15,ok
2025_fig16,ok
2025_fig17,ok
2025_fig18,ok
2025_fig19,ok
2025_fig20,ok
2025_fig21,ok
2025_fig22,ok
2025_fig23,ok
2025_fig24,ok
2025_fig25,ok
finance_fig1,ok
finance_fig2,ok
finance_fig3,ok
finance_fig4,ok
finance_fig5,ok
finance_fig6,ok
finance_fig7,ok
finance_fig8,ok
finance_fig9,ok
finance_fig10,ok
finance_fig11,ok
finance_fig12,ok
finance_fig13,ok
finance_fig14,ok
finance_fig15,ok
finance_fig16,ok
finance_fig17,ok
finance_fig18,ok
finance_fig19,ok
finance_fig20,ok
finance_fig21,ok
finance_fig22,ok
finance_fig23,ok
APMCM_fig1,ok
APMCM_fig2,ok
APMCM_fig3,ok
APMCM_fig4a,ok
APMCM_fig4b,ok
APMCM_fig5,ok
APMCM_fig6a,ok
APMCM_fig6b,ok
APMCM_fig6c,ok
APMCM_fig7a,ok
APMCM_fig7b,ok
APMCM_fig7c,ok
APMCM_fig8a,ok
APMCM_fig8b,ok
APMCM_fig8c,ok
APMCM_fig9a,ok
APMCM_fig9b,ok
APMCM_fig9c,ok
APMCM_fig9d,ok
APMCM_fig10a,ok
APMCM_fig10b,ok
APMCM_fig10c,ok
APMCM_fig10d,ok
APMCM_fig11a,ok
APMCM_fig11b,ok
APMCM_fig11c,ok
APMCM_fig11d,ok
APMCM_fig11e,ok
APMCM_fig12a,ok
APMCM_fig12b,ok
APMCM_fig12c,ok
APMCM_fig12d,ok
