sample_id,class_id,is_known,min_mahalanobis,target_alpha
cal_k01,1,1,0.42,0.05
cal_k02,1,1,0.68,0.05
cal_k03,1,1,0.91,0.05
cal_k04,1,1,1.17,0.05
cal_k05,1,1,1.44,0.05
cal_k06,1,1,1.76,0.05
cal_k07,1,1,2.08,0.05
cal_k08,1,1,2.41,0.05
cal_k09,1,1,2.79,0.05
cal_k10,1,1,3.22,0.05
cal_k11,2,1,0.51,0.05
cal_k12,2,1,0.73,0.05
cal_k13,2,1,0.98,0.05
cal_k14,2,1,1.25,0.05
cal_k15,2,1,1.52,0.05
cal_k16,2,1,1.88,0.05
cal_k17,2,1,2.19,0.05
cal_k18,2,1,2.56,0.05
cal_k19,2,1,2.96,0.05
cal_k20,2,1,3.46,0.05
cal_k21,3,1,0.47,0.05
cal_k22,3,1,0.71,0.05
cal_k23,3,1,1.03,0.05
cal_k24,3,1,1.31,0.05
cal_k25,3,1,1.65,0.05
cal_k26,3,1,1.94,0.05
cal_k27,3,1,2.32,0.05
cal_k28,3,1,2.71,0.05
cal_k29,3,1,3.08,0.05
cal_k30,3,1,3.81,0.05
cal_u01,0,0,4.72,0.05
cal_u02,0,0,5.38,0.05
cal_u03,0,0,6.14,0.05
cal_u04,0,0,7.02,0.05
cal_u05,0,0,8.20,0.05
cal_u06,0,0,9.15,0.05
