mask_ratio,contamination,method,purity,coverage,pixel_auroc,reject_rate,ci_low,ci_high
0.10,0.08,unscreened,0.90,0.96,0.86,0.02,0.83,0.89
0.20,0.16,unscreened,0.84,0.92,0.82,0.04,0.79,0.85
0.30,0.24,unscreened,0.76,0.86,0.77,0.08,0.73,0.81
0.40,0.32,unscreened,0.66,0.78,0.70,0.15,0.66,0.74
0.50,0.40,unscreened,0.55,0.68,0.62,0.27,0.58,0.66
0.60,0.48,unscreened,0.43,0.56,0.54,0.42,0.50,0.58
0.70,0.56,unscreened,0.34,0.43,0.48,0.61,0.44,0.52
0.80,0.64,unscreened,0.27,0.31,0.43,0.76,0.39,0.47
0.10,0.08,single_view,0.94,0.91,0.89,0.03,0.86,0.92
0.20,0.16,single_view,0.91,0.86,0.87,0.05,0.84,0.90
0.30,0.24,single_view,0.86,0.80,0.84,0.08,0.81,0.87
0.40,0.32,single_view,0.80,0.72,0.80,0.13,0.77,0.83
0.50,0.40,single_view,0.72,0.62,0.75,0.22,0.71,0.79
0.60,0.48,single_view,0.61,0.50,0.67,0.38,0.63,0.71
0.70,0.56,single_view,0.48,0.37,0.58,0.58,0.54,0.62
0.80,0.64,single_view,0.36,0.25,0.50,0.75,0.46,0.54
0.10,0.08,double_view,0.97,0.88,0.92,0.03,0.89,0.95
0.20,0.16,double_view,0.95,0.83,0.91,0.05,0.88,0.94
0.30,0.24,double_view,0.92,0.77,0.89,0.07,0.86,0.92
0.40,0.32,double_view,0.88,0.69,0.87,0.11,0.84,0.90
0.50,0.40,double_view,0.82,0.59,0.83,0.19,0.79,0.87
0.60,0.48,double_view,0.73,0.47,0.76,0.34,0.72,0.80
0.70,0.56,double_view,0.60,0.34,0.66,0.55,0.62,0.70
0.80,0.64,double_view,0.46,0.22,0.55,0.74,0.51,0.59
