sample_id,split,class_id,is_known,f001,f002,f003
k1_01,known,1,1,-1.90,-0.42,0.32
k1_02,known,1,1,-1.55,-0.18,0.64
k1_03,known,1,1,-1.35,-0.62,0.48
k1_04,known,1,1,-1.72,-0.78,0.10
k1_05,known,1,1,-1.20,-0.30,0.18
k1_06,known,1,1,-1.48,-0.52,0.86
k1_07,known,1,1,-1.85,-0.10,0.52
k1_08,known,1,1,-1.05,-0.70,0.35
k1_09,known,1,1,-1.62,-0.35,-0.05
k2_01,known,2,1,1.20,1.32,0.15
k2_02,known,2,1,1.55,1.10,0.48
k2_03,known,2,1,1.82,1.42,0.32
k2_04,known,2,1,1.38,0.84,0.72
k2_05,known,2,1,1.92,1.02,0.60
k2_06,known,2,1,1.65,1.58,0.05
k2_07,known,2,1,1.10,1.05,0.45
k2_08,known,2,1,1.75,0.72,0.26
k2_09,known,2,1,1.42,1.26,0.88
k3_01,known,3,1,0.05,-1.22,-1.52
k3_02,known,3,1,0.38,-1.48,-1.10
k3_03,known,3,1,-0.18,-1.62,-1.28
k3_04,known,3,1,0.55,-1.05,-1.72
k3_05,known,3,1,-0.42,-1.30,-1.42
k3_06,known,3,1,0.22,-1.78,-0.92
k3_07,known,3,1,0.62,-1.35,-1.22
k3_08,known,3,1,-0.10,-0.92,-1.86
k3_09,known,3,1,0.30,-1.12,-1.38
u_01,unknown,0,0,2.85,-1.90,1.82
u_02,unknown,0,0,-2.75,1.85,-1.60
u_03,unknown,0,0,2.45,2.52,-1.72
u_04,unknown,0,0,-2.30,-2.48,1.92
u_05,unknown,0,0,0.20,2.92,2.35
u_06,unknown,0,0,2.92,0.05,-2.62
