sample_id,scale_id,patch_id,x,y,mask_ratio,nll,posterior_residual2,gamma,omega,difficulty,recon_residual2
demo_001,1,1,1,1,0.05,0.60,0.10,0.70,1.00,0.10,0.12
demo_001,1,2,2,1,0.10,0.72,0.14,0.70,1.00,0.12,0.16
demo_001,1,3,3,1,0.25,0.95,0.24,0.70,1.00,0.18,0.28
demo_001,1,4,4,1,0.15,0.82,0.17,0.70,1.00,0.14,0.20
demo_001,1,5,5,1,0.04,0.58,0.09,0.70,1.00,0.08,0.10
demo_001,1,6,1,2,0.08,0.68,0.12,0.70,1.00,0.10,0.14
demo_001,1,7,2,2,0.42,1.28,0.42,0.70,1.00,0.32,0.48
demo_001,1,8,3,2,0.75,2.10,0.98,0.70,1.00,0.70,1.10
demo_001,1,9,4,2,0.55,1.52,0.58,0.70,1.00,0.45,0.70
demo_001,1,10,5,2,0.10,0.72,0.13,0.70,1.00,0.11,0.15
demo_001,1,11,1,3,0.12,0.74,0.15,0.70,1.00,0.12,0.18
demo_001,1,12,2,3,0.68,1.84,0.78,0.70,1.00,0.60,0.90
demo_001,1,13,3,3,1.00,3.20,1.72,0.70,1.00,0.92,1.88
demo_001,1,14,4,3,0.82,2.45,1.20,0.70,1.00,0.80,1.42
demo_001,1,15,5,3,0.18,0.88,0.20,0.70,1.00,0.16,0.24
demo_001,1,16,1,4,0.06,0.62,0.11,0.70,1.00,0.09,0.13
demo_001,1,17,2,4,0.35,1.10,0.34,0.70,1.00,0.26,0.40
demo_001,1,18,3,4,0.62,1.68,0.65,0.70,1.00,0.52,0.78
demo_001,1,19,4,4,0.44,1.24,0.41,0.70,1.00,0.34,0.50
demo_001,1,20,5,4,0.08,0.67,0.12,0.70,1.00,0.10,0.14
demo_001,2,1,1,1,0.10,0.66,0.12,0.70,0.80,0.10,0.14
demo_001,2,2,2,1,0.58,1.62,0.62,0.70,0.80,0.48,0.72
demo_001,2,3,3,1,0.14,0.76,0.17,0.70,0.80,0.13,0.19
demo_001,2,4,1,2,0.18,0.84,0.21,0.70,0.80,0.16,0.24
demo_001,2,5,2,2,0.86,2.52,1.24,0.70,0.80,0.82,1.48
demo_001,2,6,3,2,0.22,0.92,0.25,0.70,0.80,0.20,0.29
