sample_id,token_id,prototype_id,probability,view_consistency,conditional_loglik,risk_flag
demo_001,1,1,0.86,0.94,-0.82,0
demo_001,1,2,0.10,0.94,-0.82,0
demo_001,1,3,0.04,0.94,-0.82,0
demo_001,2,1,0.74,0.91,-1.02,0
demo_001,2,2,0.19,0.91,-1.02,0
demo_001,2,3,0.07,0.91,-1.02,0
demo_001,3,1,0.15,0.89,-1.18,0
demo_001,3,2,0.77,0.89,-1.18,0
demo_001,3,3,0.08,0.89,-1.18,0
demo_001,4,1,0.08,0.93,-0.91,0
demo_001,4,2,0.84,0.93,-0.91,0
demo_001,4,3,0.08,0.93,-0.91,0
demo_001,5,1,0.06,0.90,-1.10,0
demo_001,5,2,0.14,0.90,-1.10,0
demo_001,5,3,0.80,0.90,-1.10,0
demo_001,6,1,0.12,0.87,-1.31,0
demo_001,6,2,0.13,0.87,-1.31,0
demo_001,6,3,0.75,0.87,-1.31,0
demo_001,7,1,0.47,0.78,-1.82,1
demo_001,7,2,0.31,0.78,-1.82,1
demo_001,7,3,0.22,0.78,-1.82,1
demo_001,8,1,0.25,0.75,-2.05,1
demo_001,8,2,0.39,0.75,-2.05,1
demo_001,8,3,0.36,0.75,-2.05,1
